admin1_pc,admin2,admin2_pc,population,data_quality,n_sectors_available,n_dims_available,Food.Security_rate,Health_rate,Nutrition_rate,WASH_rate,Shelter_rate,Education_rate,Overarching.Protection_rate,CP_rate,GBV_rate,Migrants_rate,dim_basic_z,dim_living_z,dim_protection_z,dim_basic_wt,dim_living_wt,dim_protection_wt,index_comp_z_norm,index_comp_wt_norm,index_max_z_norm,index_max_wt_norm,index_geom_z_norm,index_geom_wt_norm,n_deprived_z,is_multidim_deprived_k2,af_score_k2_norm
HT05,La Chapelle,HT0533,32609,High,10,3,0.474347573,0.294305253,0.090772486,0.222637922,0.369039222,0.117084241,0.109478978,0.109478978,0.080376583,0.056180809,-0.322630785,0.093952087,-0.352088803,-0.325984069,0.07781056,-0.423929003,0.175191292,0.134908658,0.118339897,0.079247449,0.319107611,0.247813276,1,FALSE,0
HT05,Dessalines,HT0541,185387,High,10,3,0.481020784,0.243188573,0.092212507,0.137436821,0.229589993,0.113093151,0.212603904,0.117931678,0.212603904,0.011219773,-0.473757932,-0.356259046,0.409939535,-0.475781351,-0.356259046,0.380117913,0.193477286,0.154012317,0.187088849,0.121683219,0.291708234,0.23913161,1,FALSE,0
HT05,Petite Riviere de l'Artibonite,HT0542,165494,High,10,3,0.505776644,0.245060244,0.096311649,0.159274656,0,0.110638452,0.211451775,0.131406577,0.211451775,0.020236383,-0.372367314,-1.035208745,0.472015842,-0.481410094,-0.651018913,0.314430857,0.134817061,0.122250196,0.200594705,0.112462534,0.124745545,0.193249077,1,FALSE,0
HT05,Grande Saline,HT0543,23598,High,10,3,0.482710399,0.307483685,0.091194169,0.209043139,0.466141198,0.087507416,0.203830833,0.081320451,0.203830833,0.006992118,-0.29833553,-0.082111715,0.206688674,-0.236311152,-0.082111715,0.2330222,0.221507555,0.185813147,0.14286784,0.101034962,0.357233843,0.305070413,1,FALSE,0
HT05,Desdunes,HT0544,37602,High,10,3,0.48274028,0.219057497,0.088452742,0.089197383,0.319131961,0.10379767,0.212063188,0.092282325,0.212063188,0.014334344,-0.577905019,-0.246592293,0.319816806,-0.54308034,-0.246592293,0.330709162,0.183849739,0.153401414,0.167480971,0.114747568,0.268349068,0.229931201,1,FALSE,0
HT05,Saint-Michel de l'Attalaye,HT0551,154615,High,10,3,0.530246095,0.246256831,0.095087799,0.415199043,0.485075834,0.124923196,0.141590402,0.141590402,0.082197717,0.021304531,-0.029657975,0.536933869,-0.231878318,-0.089317719,0.536933869,-0.254484794,0.27262003,0.209979647,0.21471883,0.143695935,0.386785302,0.305495239,1,FALSE,0
HT05,Marmelade,HT0552,39659,High,10,3,0.522706069,0.294636779,0.084671827,0.617388235,0.479084193,0.127335535,0.073451171,0.073451171,0,0.03840238,0.207813909,0.556684072,-0.969512802,0.020985934,0.556684072,-0.964986195,0.217950697,0.159617805,0.219015855,0.146468328,0.166395313,0.139286341,2,TRUE,0.666666667
HT06,Hinche,HT0611,163137,High,10,3,0.528469936,0.365747807,0.081630777,0.310021638,0.391572727,0.129945996,0.164892085,0.164892085,0.080876809,0.044888652,-0.040112273,0.351546679,-0.043889334,0.001225864,0.351546679,-0.066454222,0.271726441,0.218064903,0.174384396,0.117672591,0.426941666,0.34754541,1,FALSE,0
HT06,Maissade,HT0612,78577,High,10,3,0.408592845,0.313959556,0.079107118,0.187357624,0.233185283,0.135624928,0.151838324,0.151838324,0.079845247,0.018516869,-0.533340922,-0.005294433,-0.18746206,-0.55159211,-0.005294433,-0.196007008,0.158653231,0.127898919,0.096746969,0.067581758,0.276887338,0.223793841,0,FALSE,0
HT06,Thomonde,HT0613,85152,High,10,3,0.395833333,0.389045472,0.078248309,0.263000282,0.359357384,0.137800639,0.131200676,0.131200676,0.079540116,0.02662298,-0.368673361,0.380333688,-0.293794556,-0.37295216,0.380333688,-0.326052029,0.209174765,0.165573767,0.180647546,0.121713508,0.324063361,0.260733507,1,FALSE,0
HT06,Cerca Carvajal,HT0614,31774,High,10,3,0.398659281,0.361490527,0.0761629,0.258041166,0.53502864,0.138855668,0.111474791,0.111474791,0.081450242,0.014477246,-0.418228149,0.887378298,-0.431371861,-0.430643538,0.887378298,-0.476491742,0.245579746,0.191508643,0.290964541,0.192888847,0.293729979,0.235353235,1,FALSE,0
HT06,Mirebalais,HT0621,129573,High,10,3,0.410949812,0.326040147,0.080140153,0.684548478,0.410687412,0.120526653,0.212212421,0.155449052,0.212212421,0.033000702,0.062553466,0.262462827,0.594350414,-0.118210338,0.262462827,0.488184487,0.345901576,0.248095477,0.227210869,0.136852841,0.512234373,0.351307978,3,TRUE,1
HT06,Saut d'Eau,HT0622,52389,High,10,3,0.406211228,0.401744641,0.080284029,0.356257993,0.480310752,0.129492832,0.132852316,0.132852316,0.079482334,0.046364695,-0.211078007,0.59275357,-0.238687739,-0.159076249,0.59275357,-0.203212081,0.257552241,0.213218877,0.226863446,0.15153151,0.365626533,0.309878103,1,FALSE,0
HT06,Boucan Carre,HT0623,79705,High,10,3,0.382874349,0.431829873,0.078363967,0.380954771,0.356953767,0.13118374,0.092942726,0.092942726,0.079844426,0.005721097,-0.199106163,0.273498349,-0.569765691,-0.119018593,0.225163395,-0.624476055,0.184908845,0.148250439,0.157403529,0.099931799,0.272236315,0.213571371,1,FALSE,0
HT06,Lascahobas,HT0631,65198,High,10,3,0.383247952,0.476609712,0.077778459,0.672413264,0.262400687,0.130724869,0.102963281,0.102963281,0.080922728,0.052302218,0.197929521,0.002236289,-0.397605686,0.297770578,-0.105493191,-0.473674463,0.218812701,0.168807751,0.140962123,0.110123882,0.331534513,0.251200833,2,TRUE,0.666666667
HT06,Belladere,HT0632,123067,High,10,3,0.383352158,0.458262572,0.078274436,0.36812468,0.312439565,0.127199005,0.147440012,0.147440012,0.080110834,0.034428401,-0.174250191,0.088770256,-0.175970047,-0.072975918,0.025632131,-0.179014421,0.211528564,0.173583133,0.117212493,0.07192301,0.375438723,0.313138718,1,FALSE,0
